author_agent,trigger_reviewer_agent,trigger_source,prs,response_rate,direct_reply_rate,force_push_rate,merge_within_7d_rate
Google_Jules,OpenAI_Codex,inline_review_comment,9,0.4444444444444444,0.1111111111111111,0.0,0.4444444444444444
OpenAI_Codex,Devin,pr_comment,7,0.2857142857142857,0.0,0.0,0.14285714285714285
Claude_Code,Cursor,pr_comment,5,0.8,0.0,0.0,1.0
Copilot,Devin,inline_review_comment,5,0.6,0.4,0.0,0.6
Claude_Code,Devin,inline_review_comment,5,0.6,0.2,0.0,0.6
Google_Jules,Devin,inline_review_comment,4,1.0,0.25,0.25,0.25
Cursor,Copilot,pr_comment,3,0.6666666666666666,0.0,0.0,0.6666666666666666
Cursor,Devin,pr_comment,2,1.0,0.0,0.0,0.0
Copilot,Claude_Code,inline_review_comment,2,0.5,0.0,0.0,0.5
Cursor,Devin,inline_review_comment,2,0.0,0.0,0.0,0.5
Google_Jules,Cursor,pr_comment,2,0.0,0.0,0.0,1.0
Devin,OpenAI_Codex,pr_comment,1,1.0,0.0,0.0,1.0
Google_Jules,OpenAI_Codex,submitted_review,1,1.0,0.0,0.0,1.0
